iter	Passed	Remaining
0	14	14549
1	45	22470
2	80	26860
3	110	27584
4	140	27903
5	169	28055
6	199	28304
7	229	28406
8	259	28519
9	289	28708
10	313	28157
11	346	28539
12	376	28590
13	405	28593
14	437	28700
15	468	28789
16	499	28881
17	524	28633
18	550	28442
19	585	28697
20	597	27876
21	622	27677
22	646	27481
23	676	27506
24	706	27547
25	736	27595
26	748	26982
27	784	27233
28	816	27345
29	846	27368
30	876	27400
31	909	27498
32	940	27550
33	971	27602
34	1002	27642
35	1033	27670
36	1066	27768
37	1099	27833
38	1129	27843
39	1161	27868
40	1177	27535
41	1208	27560
42	1237	27547
43	1271	27619
44	1288	27342
45	1309	27151
46	1329	26960
47	1376	27304
48	1411	27397
49	1443	27418
50	1482	27591
51	1520	27712
52	1542	27559
53	1578	27653
54	1609	27656
55	1626	27415
56	1658	27444
57	1688	27423
58	1699	27111
59	1729	27093
60	1761	27110
61	1791	27108
62	1824	27133
63	1845	26986
64	1875	26982
65	1905	26968
66	1936	26961
67	1947	26697
68	1981	26742
69	2008	26682
70	2037	26662
71	2067	26651
72	2099	26657
73	2130	26658
74	2161	26654
75	2179	26496
76	2209	26488
77	2240	26480
78	2268	26452
79	2299	26449
80	2330	26446
81	2365	26480
82	2396	26475
83	2409	26273
84	2445	26326
85	2481	26371
86	2516	26411
87	2559	26522
88	2619	26813
89	2635	26649
90	2674	26716
91	2688	26529
92	2721	26546
93	2755	26553
94	2773	26422
95	2813	26491
96	2845	26489
97	2880	26508
98	2921	26588
99	2945	26506
100	2975	26485
101	3007	26477
102	3027	26370
103	3059	26360
104	3092	26357
105	3121	26330
106	3153	26315
107	3167	26158
108	3201	26166
109	3213	25996
110	3219	25788
111	3242	25710
112	3279	25739
113	3317	25781
114	3370	25940
115	3428	26126
116	3438	25951
117	3490	26087
118	3530	26135
119	3572	26199
120	3615	26262
121	3623	26079
122	3657	26076
123	3698	26131
124	3739	26176
125	3772	26168
126	3815	26225
127	3850	26231
128	3886	26242
129	3899	26094
130	3917	25987
131	3954	26001
132	3961	25824
133	3996	25825
134	4032	25838
135	4066	25836
136	4101	25834
137	4136	25837
138	4169	25825
139	4204	25825
140	4235	25805
141	4267	25786
142	4301	25779
143	4334	25768
144	4373	25789
145	4407	25780
146	4446	25804
147	4455	25646
148	4490	25645
149	4508	25546
150	4541	25534
151	4573	25514
152	4606	25502
153	4628	25425
154	4663	25422
155	4697	25413
156	4729	25395
157	4762	25378
158	4786	25316
159	4818	25299
160	4852	25285
161	4887	25280
162	4923	25280
163	4957	25272
164	4975	25181
165	5006	25155
166	5040	25141
167	5071	25117
168	5104	25100
169	5143	25110
170	5191	25170
171	5226	25159
172	5259	25144
173	5296	25143
174	5337	25162
175	5376	25170
176	5413	25170
177	5420	25032
178	5451	25005
179	5483	24980
180	5514	24953
181	5546	24928
182	5576	24897
183	5608	24873
184	5644	24865
185	5679	24857
186	5711	24831
187	5742	24800
188	5773	24775
189	5805	24750
190	5837	24727
191	5870	24703
192	5904	24688
193	5937	24666
194	5969	24643
195	6000	24615
196	6033	24594
197	6064	24562
198	6095	24534
199	6127	24509
200	6163	24501
201	6197	24482
202	6228	24455
203	6260	24428
204	6292	24400
205	6323	24373
206	6354	24344
207	6386	24317
208	6423	24312
209	6457	24292
210	6488	24262
211	6519	24232
212	6551	24206
213	6591	24208
214	6624	24185
215	6659	24171
216	6696	24161
217	6728	24137
218	6761	24112
219	6795	24094
220	6829	24073
221	6860	24041
222	6892	24015
223	6926	23996
224	6957	23964
225	6990	23939
226	7022	23912
227	7057	23896
228	7088	23864
229	7120	23839
230	7155	23822
231	7190	23804
232	7221	23773
233	7257	23757
234	7289	23729
235	7322	23704
236	7354	23676
237	7389	23657
238	7426	23645
239	7461	23627
240	7493	23599
241	7527	23577
242	7564	23564
243	7597	23538
244	7629	23511
245	7663	23487
246	7697	23467
247	7728	23435
248	7759	23404
249	7790	23370
250	7823	23346
251	7854	23314
252	7888	23291
253	7924	23275
254	7957	23247
255	7989	23218
256	8021	23191
257	8056	23170
258	8088	23140
259	8118	23105
260	8148	23071
261	8182	23047
262	8213	23015
263	8245	22986
264	8277	22958
265	8310	22932
266	8345	22910
267	8377	22881
268	8410	22855
269	8446	22837
270	8480	22812
271	8512	22784
272	8545	22756
273	8576	22724
274	8611	22703
275	8643	22674
276	8679	22655
277	8715	22634
278	8747	22605
279	8781	22579
280	8814	22554
