iter	Logloss
0	0.6826206586
1	0.6711411747
2	0.6618236541
3	0.6533137926
4	0.6462844653
5	0.6386372143
6	0.6320825595
7	0.6264482646
8	0.6216047227
9	0.6160097087
10	0.6121060092
11	0.6081139137
12	0.6032603429
13	0.5997005297
14	0.5962512126
15	0.5928811441
16	0.5907203982
17	0.5884193472
18	0.5865150893
19	0.5835603337
20	0.5825958348
21	0.5809923202
22	0.5790977256
23	0.5768896789
24	0.5750884937
25	0.5733662055
26	0.5727225874
27	0.571334733
28	0.5697168333
29	0.5664054046
30	0.5645111652
31	0.5634679793
32	0.5630483424
33	0.5621540346
34	0.5612028783
35	0.5605115091
36	0.5594948153
37	0.5585617859
38	0.5575016403
39	0.5564234032
40	0.5561069126
41	0.5552065494
42	0.5543661393
43	0.5535965715
44	0.5535677623
45	0.55301699
46	0.5528636128
47	0.5526502901
48	0.5518137171
49	0.551029656
50	0.550433812
51	0.5491046153
52	0.5489659544
53	0.5485301915
54	0.5478597532
55	0.5477515647
56	0.5470560156
57	0.5459191256
58	0.5458774244
59	0.5451786434
60	0.5444628035
61	0.5433465546
62	0.5428903219
63	0.5427056991
64	0.5418482336
65	0.5412774219
66	0.5404640694
67	0.5404569298
68	0.5401361296
69	0.5399937145
70	0.5396488654
71	0.5395750327
72	0.5380975016
73	0.5377198757
74	0.5368534759
75	0.5366651564
76	0.536192946
77	0.5358009191
78	0.5354282977
79	0.5346136158
80	0.5343274242
81	0.5330175201
82	0.5322127795
83	0.5321036171
84	0.530318693
85	0.5281732074
86	0.527857061
87	0.5272501707
88	0.5268772267
89	0.5268594854
90	0.5262469539
91	0.5262312638
92	0.5259291675
93	0.5256421694
94	0.5256315314
95	0.5241496374
96	0.5232868563
97	0.5231820806
98	0.5228554582
99	0.5228367408
100	0.5220590106
101	0.5217506342
102	0.5217286628
103	0.5215278741
104	0.5207631643
105	0.520588935
106	0.5198526374
107	0.5198384085
108	0.5196323869
109	0.5196218527
110	0.5196218523
111	0.5195550682
112	0.5181520133
113	0.5178018456
114	0.5175919458
115	0.5173532083
116	0.517353203
117	0.5171809826
118	0.5167446789
119	0.5162386302
120	0.5154891706
121	0.5154891699
122	0.5150476028
123	0.5148166514
124	0.5143536952
125	0.5139806775
126	0.5137362414
127	0.5132515974
128	0.513068718
129	0.5130510124
130	0.5130207231
131	0.5125092386
132	0.5125092386
133	0.5124080319
134	0.5120100625
135	0.5106114201
136	0.5103648507
137	0.5096793848
138	0.5093185859
139	0.5090870878
140	0.5083617769
141	0.5077992721
142	0.5069760544
143	0.5060265858
144	0.5057124202
145	0.5056551947
146	0.5051827665
147	0.505182766
148	0.5042359777
149	0.5041729874
150	0.5035948153
151	0.502882309
152	0.5026982748
153	0.5026943428
154	0.5023044061
155	0.5016891325
156	0.5014048787
157	0.5011748385
158	0.5010952101
159	0.5004690061
160	0.499848989
161	0.4994909577
162	0.4982685273
163	0.4977721098
164	0.497770147
165	0.4974708496
166	0.4963761456
167	0.4956656449
168	0.4954921719
169	0.4950990344
170	0.4942433271
171	0.493314797
172	0.4927026949
173	0.4916666107
174	0.4912658955
175	0.4901780447
176	0.4896719604
177	0.4896719489
178	0.4894871361
179	0.4882142895
180	0.487710978
181	0.4872777351
182	0.486882767
183	0.4861208996
184	0.4858437076
185	0.4854203203
186	0.4847616998
187	0.4836488576
188	0.4833174708
189	0.4824228715
190	0.4811881514
191	0.479939304
192	0.4798341065
193	0.4790314157
194	0.4785548246
195	0.4777323744
196	0.4771407083
197	0.4769109387
198	0.4758221821
199	0.4741614492
200	0.4738323428
201	0.4726962059
202	0.47178743
203	0.4710343272
204	0.470543354
205	0.4694346706
206	0.4691712389
207	0.468186651
208	0.4678513394
209	0.4673629852
210	0.4665854342
211	0.4659444587
212	0.4649545279
213	0.4639147067
214	0.4634269364
215	0.462762149
216	0.4611435805
217	0.4600624888
218	0.4591434847
219	0.4585313678
220	0.4578751465
221	0.4576153709
222	0.4566611213
223	0.4562582627
224	0.4553546592
225	0.4546513791
226	0.4542974832
227	0.4538621833
228	0.4536999439
229	0.4529994578
230	0.4519297917
231	0.4514732148
232	0.4511380065
233	0.4499439953
234	0.4486904431
235	0.4482492285
236	0.4472347299
237	0.4469951514
238	0.4464291371
239	0.4455764108
240	0.4449292229
241	0.4441862117
242	0.4427180959
243	0.4420299053
244	0.4405106219
245	0.4398063034
246	0.4393641651
247	0.4384139877
248	0.4372973235
249	0.4368621974
250	0.4360241882
251	0.4349546755
252	0.4340623453
253	0.4337835408
254	0.43260101
255	0.4318911923
256	0.4316669793
257	0.4312083292
258	0.4304153822
259	0.429765092
260	0.4293066891
261	0.4286025582
262	0.4283024471
263	0.42760251
264	0.4272661068
265	0.4263604159
266	0.4261423581
267	0.4257791459
268	0.4249118267
269	0.4242310753
270	0.4240372441
271	0.4232753462
272	0.4227318296
273	0.4215581141
274	0.4207345535
275	0.4203345111
276	0.4199066937
277	0.4193584725
278	0.4185751098
279	0.417978313
280	0.4175956519
281	0.4168639102
282	0.4163792792
283	0.4159348866
284	0.4149278562
285	0.4141571485
286	0.4136818426
287	0.4130273099
288	0.4123644557
289	0.4121363302
290	0.4113243398
291	0.410892786
292	0.4103787719
293	0.4099719107
294	0.4097694949
295	0.4093865175
296	0.4090895794
297	0.4088216303
298	0.4082687964
299	0.4076763983
300	0.4070540287
301	0.4066702604
302	0.4064522775
303	0.4058785426
304	0.4058656694
305	0.4052424627
306	0.4045988728
307	0.4040263562
308	0.4037759892
309	0.4030199219
310	0.4025233272
311	0.4024208693
312	0.4017279472
313	0.4010567655
314	0.4002194242
315	0.3998262956
316	0.3993619867
317	0.3992694338
318	0.39869223
319	0.398022001
320	0.3974721105
321	0.3969591118
322	0.3967035083
323	0.3963613476
324	0.3959730303
325	0.3956606261
326	0.3952819658
327	0.3947847345
328	0.3944208044
329	0.3941269478
